lNames	lVal
ANA1	ANA	-167956.691063002
ANA2	ANA	0.2430766615646
ANA3	ANA	47.7426883565675
ANA4	ANA	167.159097196943
ANA5	ANA	4878.40459575312
ANA6	ANA	14219.1847136329
ANA7	ANA	0.0453780136353524
ANA8	ANA	15.8963961531603
ANA9	ANA	42.7695441819451
ANA10	ANA	405.670716972243
ANA11	ANA	-11.8119775813849
ANA12	ANA	5.35670563982615
ANA13	ANA	3.00336553622413
ANA14	ANA	3.9083675169844
ANA15	ANA	12.0255280740091
ANA16	ANA	5.58289957260269e-27
ANA17	ANA	1.61962991766423e-07
ANA18	ANA	0.00287998894142799
ANA19	ANA	0.000113370043994439
ANA20	ANA	9.44720687892729e-28
ARI1	ARI	16113.7941531207
ARI2	ARI	0.147442939139256
ARI3	ARI	39.5855569596317
ARI4	ARI	154.66382632172
ARI5	ARI	-586.160994868623
ARI6	ARI	1750.49955741593
ARI7	ARI	0.0289869959323264
ARI8	ARI	8.2779358752508
ARI9	ARI	17.1321570582318
ARI10	ARI	54.9912955073222
ARI11	ARI	9.20525462851741
ARI12	ARI	5.08652015833166
ARI13	ARI	4.78205648801699
ARI14	ARI	9.02769136402502
ARI15	ARI	-10.6591595899132
ARI16	ARI	1.57409337737811e-19
ARI17	ARI	4.25835545738886e-07
ARI18	ARI	1.96104967575438e-06
ARI19	ARI	7.24703901078359e-19
ARI20	ARI	2.33267835989706e-25
ATL1	ATL	29813.0583813879
ATL2	ATL	0.148794054374105
ATL3	ATL	12.9101624646673
ATL4	ATL	-30.4127302645856
ATL5	ATL	-142.362268596639
ATL6	ATL	3395.0581905133
ATL7	ATL	0.0279568335115078
ATL8	ATL	9.53244103576224
ATL9	ATL	32.8872391623372
ATL10	ATL	65.4733445497494
ATL11	ATL	8.78130998304935
ATL12	ATL	5.32227851601498
ATL13	ATL	1.35433960894519
ATL14	ATL	-0.924757779589314
ATL15	ATL	-2.17435461065329
ATL16	ATL	5.46282144331782e-18
ATL17	ATL	1.22188455034931e-07
ATL18	ATL	0.175882802394881
ATL19	ATL	0.355277682557194
ATL20	ATL	0.0298732182632156
BAL1	BAL	14161.5407303169
BAL2	BAL	0.0382701132600443
BAL3	BAL	41.2331163214347
BAL4	BAL	376.849033303116
BAL5	BAL	-988.918117941757
BAL6	BAL	2641.05935491381
BAL7	BAL	0.0289630771992201
BAL8	BAL	12.3472493558497
BAL9	BAL	38.7041535407692
BAL10	BAL	84.7432423317944
BAL11	BAL	5.3620683321519
BAL12	BAL	1.32134140985112
BAL13	BAL	3.33945765029035
BAL14	BAL	9.73665611640779
BAL15	BAL	-11.6695808507049
BAL16	BAL	9.80656567936652e-08
BAL17	BAL	0.186631500616829
BAL18	BAL	0.000864389411731445
BAL19	BAL	1.22594863303529e-21
BAL20	BAL	6.28667065364822e-30
BOS1	BOS	-4636.4535019413
BOS2	BOS	0.391413273330844
BOS3	BOS	5.62027866478547
BOS4	BOS	107.409935554361
BOS5	BOS	173.610577914208
BOS6	BOS	916.386911572416
BOS7	BOS	0.0203019204062716
BOS8	BOS	1.23923886590784
BOS9	BOS	4.26945201255395
BOS10	BOS	11.9527887179606
BOS11	BOS	-5.05949336834774
BOS12	BOS	19.2796181591732
BOS13	BOS	4.53526662163568
BOS14	BOS	25.1577802581061
BOS15	BOS	14.5246922714643
BOS16	BOS	4.76627513103738e-07
BOS17	BOS	1.41376505169375e-73
BOS18	BOS	6.24897582187961e-06
BOS19	BOS	2.23971982875166e-115
BOS20	BOS	1.32490038483427e-44
CHA1	CHA	-1171.79547153794
CHA2	CHA	0.414758355264123
CHA3	CHA	50.9006523862182
CHA4	CHA	159.599562629199
CHA5	CHA	54.1055067903314
CHA6	CHA	2661.19856723972
CHA7	CHA	0.0245110150056074
CHA8	CHA	8.06554790581309
CHA9	CHA	25.0504810078973
CHA10	CHA	55.579769062275
CHA11	CHA	-0.44032620713206
CHA12	CHA	16.9213047753933
CHA13	CHA	6.31087348071326
CHA14	CHA	6.37111768747612
CHA15	CHA	0.97347483991357
CHA16	CHA	0.65977899200639
CHA17	CHA	7.49733217501863e-58
CHA18	CHA	3.87710412974846e-10
CHA19	CHA	2.65518182334513e-10
CHA20	CHA	0.330510645379205
CHN1	CHN	31263.3467242821
CHN2	CHN	0.36060383277239
CHN3	CHN	10.1696782200564
CHN4	CHN	68.9913754294402
CHN5	CHN	-142.27452637988
CHN6	CHN	2789.06494418648
CHN7	CHN	0.0252374781832234
CHN8	CHN	4.45869462586874
CHN9	CHN	10.3112616517242
CHN10	CHN	26.6333095351231
CHN11	CHN	11.2092573496531
CHN12	CHN	14.288425735504
CHN13	CHN	2.28086448465283
CHN14	CHN	6.69087622443406
CHN15	CHN	-5.3419769778237
CHN16	CHN	8.18410790656901e-28
CHN17	CHN	6.529071074688e-43
CHN18	CHN	0.0227298177380759
CHN19	CHN	3.38465881337164e-11
CHN20	CHN	1.09772497678082e-07
CIN1	CIN	8559.07560662479
CIN2	CIN	0.236305983409755
CIN3	CIN	25.6650287064974
CIN4	CIN	145.248965953001
CIN5	CIN	-87.695207631687
CIN6	CIN	2208.11221043667
CIN7	CIN	0.0278480215279674
CIN8	CIN	9.85776719449376
CIN9	CIN	27.1952523445649
CIN10	CIN	23.7232626807519
CIN11	CIN	3.87619594972131
CIN12	CIN	8.48555733743726
CIN13	CIN	2.60353366032351
CIN14	CIN	5.34096775836792
CIN15	CIN	-3.69659135051602
CIN16	CIN	0.000111936173080931
CIN17	CIN	6.34320451046194e-17
CIN18	CIN	0.00934241520169404
CIN19	CIN	1.10811849233017e-07
CIN20	CIN	0.000228527484150483
CLE1	CLE	13127.8965571392
CLE2	CLE	0.246942781051837
CLE3	CLE	75.5749020195384
CLE4	CLE	126.568268298088
CLE5	CLE	-632.135130576602
CLE6	CLE	2024.7092858515
CLE7	CLE	0.027049761936539
CLE8	CLE	8.84854366315672
CLE9	CLE	21.4139241167839
CLE10	CLE	61.7805787504334
CLE11	CLE	6.48384271701417
CLE12	CLE	9.129203489154
CLE13	CLE	8.54094243035888
CLE14	CLE	5.91055929813845
CLE15	CLE	-10.2319392819247
CLE16	CLE	1.28912358411391e-10
CLE17	CLE	2.7324165754114e-19
CLE18	CLE	3.85587320005498e-17
CLE19	CLE	4.4036121962857e-09
CLE20	CLE	1.20991796169888e-23
COL1	COL	-1421.52221066669
COL2	COL	0.331690729387449
COL3	COL	19.1093956294947
COL4	COL	255.344218710642
COL5	COL	185.627211487009
COL6	COL	2221.35794061942
COL7	COL	0.0251431699395053
COL8	COL	9.33767636394028
COL9	COL	26.3623762456266
COL10	COL	50.6218432705891
COL11	COL	-0.639933882186633
COL12	COL	13.1920807990997
COL13	COL	2.04648296692851
COL14	COL	9.68593332905652
COL15	COL	3.66693900288804
COL16	COL	0.522335053307386
COL17	COL	2.93989412949555e-37
COL18	COL	0.040921605941086
COL19	COL	1.97841021371419e-21
COL20	COL	0.000255974135887364
DET1	DET	3701.2387060464
DET2	DET	0.205126060944024
DET3	DET	69.6753084512992
DET4	DET	159.299114874223
DET5	DET	695.202138192903
DET6	DET	1153.87033599995
DET7	DET	0.0262277155408501
DET8	DET	8.17524620371863
DET9	DET	19.5002600071025
DET10	DET	63.6980530526816
DET11	DET	3.20767298592426
DET12	DET	7.82096559742449
DET13	DET	8.52271683507297
DET14	DET	8.16907645417048
DET15	DET	10.9140249171813
DET16	DET	0.00137180482113324
DET17	DET	1.10164986472781e-14
DET18	DET	4.39235405966846e-17
DET19	DET	7.48631159855319e-16
DET20	DET	1.46174042815915e-26
FLO1	FLO	-18452.8385253491
FLO2	FLO	0.197253294694906
FLO3	FLO	37.8865624213864
FLO4	FLO	338.871543174152
FLO5	FLO	271.477424012065
FLO6	FLO	3905.3498396432
FLO7	FLO	0.0312873943281592
FLO8	FLO	10.5025979109769
FLO9	FLO	47.7251592741433
FLO10	FLO	79.4755880616372
FLO11	FLO	-4.72501550002881
FLO12	FLO	6.30456127557337
FLO13	FLO	3.6073515088861
FLO14	FLO	7.10048008907843
FLO15	FLO	3.41585926739568
FLO16	FLO	2.66956405268112e-06
FLO17	FLO	4.5266651961199e-10
FLO18	FLO	0.000326409526254229
FLO19	FLO	2.52696568715802e-12
FLO20	FLO	0.000664325243246353
HOU1	HOU	12253.3871354272
HOU2	HOU	0.2491258597205
HOU3	HOU	35.4562963003459
HOU4	HOU	162.511212364518
HOU5	HOU	-452.670881879253
HOU6	HOU	2038.50629703215
HOU7	HOU	0.029346662441677
HOU8	HOU	7.98004459349885
HOU9	HOU	21.1131419138351
HOU10	HOU	69.1326485986365
HOU11	HOU	6.01096359293412
HOU12	HOU	8.4890695906428
HOU13	HOU	4.44312007093686
HOU14	HOU	7.69715909776683
HOU15	HOU	-6.54785967347099
HOU16	HOU	2.48734227164534e-09
HOU17	HOU	6.48656555910979e-17
HOU18	HOU	9.74003637468035e-06
HOU19	HOU	3.02831986899758e-14
HOU20	HOU	8.84957345800338e-11
KCA1	KCA	3457.24443014838
KCA2	KCA	0.195889711292805
KCA3	KCA	8.38175391188635
KCA4	KCA	87.7797472773367
KCA5	KCA	193.345850164615
KCA6	KCA	2271.94209562547
KCA7	KCA	0.02905697947852
KCA8	KCA	10.4885355323505
KCA9	KCA	26.6796718296004
KCA10	KCA	55.9341292612722
KCA11	KCA	1.52171326760711
KCA12	KCA	6.74157172591233
KCA13	KCA	0.799134815917239
KCA14	KCA	3.29013594462385
KCA15	KCA	3.45667042140735
KCA16	KCA	0.128352538851069
KCA17	KCA	2.46068524164715e-11
KCA18	KCA	0.424375275413101
KCA19	KCA	0.00103139265127516
KCA20	KCA	0.000566620267475962
LAN1	LAN	18518.4659446467
LAN2	LAN	0.211981298730862
LAN3	LAN	44.6850257601326
LAN4	LAN	1.60391227347343
LAN5	LAN	296.33108316779
LAN6	LAN	4421.97031721755
LAN7	LAN	0.0280137448058818
LAN8	LAN	9.65217825807015
LAN9	LAN	39.7964700217517
LAN10	LAN	60.4569952201644
LAN11	LAN	4.18783135484708
LAN12	LAN	7.56704611253383
LAN13	LAN	4.62952761183949
LAN14	LAN	0.0403028779335648
LAN15	LAN	4.90151854369624
LAN16	LAN	3.03557711369008e-05
LAN17	LAN	7.89839993676225e-14
LAN18	LAN	4.08990086279345e-06
LAN19	LAN	0.967858785062852
LAN20	LAN	1.08995239678089e-06
MIA1	MIA	37212.1592981418
MIA2	MIA	0.0879717073748986
MIA3	MIA	38.3205959898978
MIA4	MIA	-306.455783837686
MIA5	MIA	7707.59951898107
MIA6	MIA	0.0795208972615368
MIA7	MIA	15.9189657432832
MIA8	MIA	133.043873526081
MIA9	MIA	4.82798298049886
MIA10	MIA	1.10627156388299
MIA11	MIA	2.40722900016709
MIA12	MIA	-2.30341898289371
MIA13	MIA	3.23060807794033e-06
MIA14	MIA	0.270290536593723
MIA15	MIA	0.0172270833920598
MIA16	MIA	0.0225588841053097
MIL1	MIL	2020.67110997117
MIL2	MIL	0.11114674571931
MIL3	MIL	76.7449118627862
MIL4	MIL	291.921828549737
MIL5	MIL	159.676653994105
MIL6	MIL	2113.67996425957
MIL7	MIL	0.0277060552959489
MIL8	MIL	10.2525694723585
MIL9	MIL	31.4317834729192
MIL10	MIL	76.5901560966948
MIL11	MIL	0.955996718585074
MIL12	MIL	4.01164094029515
MIL13	MIL	7.48543202459589
MIL14	MIL	9.28747262468416
MIL15	MIL	2.0848195398964
MIL16	MIL	0.339278545273744
