Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2001-04-01	Sun	TOR	D	1	19891	40898	78
2001-04-02	Mon	SEA	N	1	45911	45552	93
2001-04-02	Mon	SFN	D	1	40930	40930	95
2001-04-02	Mon	BAL	D	1	46547	46902	67
2001-04-02	Mon	CLE	D	1	42606	42727	74
2001-04-02	Mon	NYA	D	1	55814	48487	103
2001-04-02	Mon	CHN	D	1	38466	55000	67
2001-04-02	Mon	CIN	D	1	41901	55596	78
2001-04-02	Mon	COL	D	1	48113	48094	73
2001-04-02	Mon	FLO	D	1	36146	35101	79
2001-04-02	Mon	LAN	D	1	53154	53223	92
2001-04-03	Tue	DET	D	1	40104	39168	55
2001-04-03	Tue	ATL	D	1	42117	42255	101
2001-04-03	Tue	CIN	N	2	20784	16761	78
2001-04-03	Tue	FLO	N	2	10257	9524	79
2001-04-03	Tue	HOU	D	1	36526	41583	84
2001-04-03	Tue	LAN	N	2	22927	51179	92
2001-04-03	Tue	SEA	N	2	27212	29242	93
2001-04-03	Tue	TBA	N	1	41546	40329	55
2001-04-03	Tue	TEX	D	1	49512	49332	72
2001-04-04	Wed	SEA	D	3	31382	25121	93
2001-04-04	Wed	TBA	N	2	15172	30177	55
2001-04-04	Wed	TEX	N	2	34321	29418	72
2001-04-04	Wed	SFN	N	2	40930	40930	95
2001-04-04	Wed	BAL	N	2	35602	33833	67
2001-04-04	Wed	CLE	N	2	32763	40543	74
2001-04-04	Wed	NYA	N	2	26499	23805	103
2001-04-04	Wed	ATL	N	2	27924	26132	101
2001-04-04	Wed	CHN	D	2	23070	38655	67
2001-04-04	Wed	CIN	N	3	18330	23059	78
2001-04-04	Wed	COL	N	2	36667	40488	73
2001-04-04	Wed	FLO	N	3	8493	8365	79
2001-04-04	Wed	HOU	N	2	25092	39018	84
2001-04-04	Wed	LAN	N	3	34301	52594	92
2001-04-05	Thu	BAL	N	3	33469	35181	67
2001-04-05	Thu	DET	D	2	20836	21405	55
2001-04-05	Thu	NYA	D	3	26696	33094	103
2001-04-05	Thu	ATL	N	3	34219	30008	101
2001-04-05	Thu	CHN	D	3	16758	26838	67
2001-04-05	Thu	CIN	D	4	20482	20909	78
2001-04-05	Thu	COL	D	3	35142	38339	73
2001-04-05	Thu	HOU	N	3	24055	38784	84
2001-04-05	Thu	LAN	N	4	20542	26298	92
2001-04-05	Thu	TBA	D	3	14023	21357	55
2001-04-05	Thu	TEX	N	3	34120	25544	72
2001-04-05	Thu	SFN	N	3	40930	40930	95
2001-04-06	Fri	OAK	N	1	42826	53498	103
2001-04-06	Fri	TEX	N	4	34684	28466	72
2001-04-06	Fri	PHI	D	1	36380	47115	80
2001-04-06	Fri	BOS	D	1	33525	33114	93
2001-04-06	Fri	CHA	D	1	43954	38912	81
2001-04-06	Fri	CLE	N	3	32738	40626	74
2001-04-06	Fri	KCA	D	1	40150	40474	62
2001-04-06	Fri	NYA	N	4	29606	34056	103
2001-04-06	Fri	ARI	N	1	46079	44298	98
2001-04-06	Fri	COL	N	4	37431	39365	73
2001-04-06	Fri	FLO	N	4	15857	7741	79
2001-04-06	Fri	HOU	N	4	27126	36324	84
2001-04-06	Fri	LAN	N	5	36508	29717	92
2001-04-06	Fri	MIL	N	1	42024	53509	56
2001-04-06	Fri	MON	N	1	45183	51249	83
2001-04-07	Sat	BOS	N	2	31660	20313	93
2001-04-07	Sat	CHA	D	2	20264	14135	81
2001-04-07	Sat	CLE	D	4	40704	40551	74
2001-04-07	Sat	KCA	D	2	16687	17133	62
2001-04-07	Sat	NYA	D	5	30487	36724	103
2001-04-07	Sat	ARI	D	2	34404	29291	98
2001-04-07	Sat	COL	D	5	41026	40248	73
2001-04-07	Sat	FLO	N	5	27224	13803	79
2001-04-07	Sat	HOU	D	5	30046	37463	84
2001-04-07	Sat	LAN	N	6	38417	46012	92
2001-04-07	Sat	MIL	D	2	40651	7007	56
2001-04-07	Sat	MON	D	2	15317	12143	83
2001-04-07	Sat	OAK	D	2	21398	10188	103
2001-04-07	Sat	TEX	N	5	41651	31619	72
2001-04-07	Sat	PHI	D	2	16847	15269	80
2001-04-08	Sun	OAK	D	3	26211	10229	103
2001-04-08	Sun	TEX	D	6	44306	37128	72
2001-04-08	Sun	PHI	D	3	15550	14552	80
2001-04-08	Sun	BOS	D	3	31383	22194	93
2001-04-08	Sun	CHA	D	3	19887	10929	81
2001-04-08	Sun	CLE	D	5	40754	40531	74
2001-04-08	Sun	KCA	D	3	15028	20480	62
2001-04-08	Sun	NYA	D	6	31970	35693	103
2001-04-08	Sun	ARI	D	3	36714	28774	98
2001-04-08	Sun	COL	D	6	40446	43029	73
2001-04-08	Sun	COL	D	6	40446	35095	73
2001-04-08	Sun	FLO	D	6	20880	20077	79
2001-04-08	Sun	HOU	D	6	30174	38783	84
2001-04-08	Sun	LAN	N	7	37549	35583	92
2001-04-08	Sun	MIL	D	3	34077	7023	56
2001-04-08	Sun	MON	D	3	11321	8867	83
2001-04-09	Mon	CHA	N	4	21242	9898	81
2001-04-09	Mon	KCA	D	4	24411	13252	62
2001-04-09	Mon	MIN	N	1	46101	43830	94
2001-04-09	Mon	MON	N	4	5776	9121	83
2001-04-09	Mon	TOR	N	2	48115	13514	78
2001-04-09	Mon	NYN	D	1	53640	55000	75
2001-04-09	Mon	PHI	N	4	11311	12366	80
2001-04-09	Mon	PIT	D	1	36954	54399	72
2001-04-09	Mon	SLN	D	1	48702	48156	97
2001-04-10	Tue	OAK	N	4	14880	10549	103
2001-04-10	Tue	TOR	N	3	18071	14957	78
2001-04-10	Tue	PHI	N	5	11376	18648	80
2001-04-10	Tue	SDN	D	1	61277	60021	66
2001-04-10	Tue	ANA	N	1	42784	42704	99
2001-04-10	Tue	BOS	N	4	27664	29472	93
2001-04-10	Tue	CHA	N	5	12465	8425	81
2001-04-10	Tue	KCA	N	5	16338	13080	62
2001-04-10	Tue	MIN	N	2	9130	7020	94
2001-04-10	Tue	ARI	N	4	29191	32536	98
2001-04-10	Tue	MIL	N	4	23577	10171	56
2001-04-10	Tue	MON	N	5	8314	12260	83
2001-04-11	Wed	ANA	N	2	16974	25818	99
2001-04-11	Wed	BOS	N	5	26302	33122	93
2001-04-11	Wed	CHA	D	6	12693	11278	81
2001-04-11	Wed	KCA	D	6	19175	15228	62
2001-04-11	Wed	MIN	N	3	11149	7089	94
2001-04-11	Wed	ARI	N	5	25974	33298	98
2001-04-11	Wed	MIL	N	5	26021	24755	56
2001-04-11	Wed	MON	N	6	9632	13528	83
2001-04-11	Wed	OAK	N	5	16652	13125	103
2001-04-11	Wed	TOR	N	4	24017	14336	78
2001-04-11	Wed	NYN	N	2	36048	52308	75
2001-04-11	Wed	PIT	N	2	35045	12208	72
2001-04-11	Wed	SDN	N	2	50149	19035	66
2001-04-11	Wed	SLN	N	2	30115	38908	97
2001-04-12	Thu	OAK	D	6	15414	13280	103
2001-04-12	Thu	NYN	N	3	27694	17585	75
2001-04-12	Thu	PIT	N	3	33045	11860	72
2001-04-12	Thu	SDN	D	3	25730	15801	66
2001-04-12	Thu	SLN	D	3	35127	40589	97
2001-04-12	Thu	ANA	N	3	17435	24560	99
2001-04-12	Thu	BOS	N	6	30083	32385	93
2001-04-12	Thu	DET	N	3	15639	20781	55
2001-04-12	Thu	ARI	N	6	29465	34204	98
2001-04-12	Thu	MIL	D	6	23599	12004	56
2001-04-13	Fri	ANA	N	4	31087	30412	99
2001-04-13	Fri	BAL	N	4	34656	39415	67
2001-04-13	Fri	BOS	N	7	33124	33240	93
2001-04-13	Fri	DET	N	4	20334	25043	55
2001-04-13	Fri	MIN	N	4	21202	8763	94
2001-04-13	Fri	ATL	N	4	31017	35343	101
2001-04-13	Fri	CHN	D	4	26003	20152	67
2001-04-13	Fri	COL	N	7	38564	43029	73
2001-04-13	Fri	COL	N	7	38564	35095	73
2001-04-13	Fri	MIL	N	7	34998	15459	56
2001-04-13	Fri	MON	N	7	12554	9782	83
2001-04-13	Fri	OAK	N	7	19255	9123	103
2001-04-13	Fri	TOR	D	5	26148	17306	78
2001-04-13	Fri	NYN	N	4	38243	17482	75
2001-04-13	Fri	SDN	N	4	29883	28131	66
2001-04-13	Fri	SLN	N	4	42153	33089	97
2001-04-14	Sat	OAK	D	8	26730	8638	103
2001-04-14	Sat	TOR	D	6	26024	21754	78
2001-04-14	Sat	NYN	D	5	55067	27791	75
2001-04-14	Sat	SDN	N	5	50750	30951	66
2001-04-14	Sat	SLN	D	5	39235	40909	97
2001-04-14	Sat	ANA	N	5	34780	27369	99
2001-04-14	Sat	BAL	D	5	43621	42547	67
2001-04-14	Sat	BOS	D	8	33396	24087	93
2001-04-14	Sat	DET	D	5	23119	25969	55
2001-04-14	Sat	MIN	N	5	26487	15249	94
2001-04-14	Sat	ATL	N	5	35979	35938	101
2001-04-14	Sat	CHN	D	5	34220	21324	67
2001-04-14	Sat	COL	D	8	42319	45366	73
2001-04-14	Sat	MIL	N	8	42080	22630	56
2001-04-14	Sat	MON	N	8	9514	9975	83
2001-04-15	Sun	ANA	D	6	20733	35847	99
2001-04-15	Sun	BAL	D	6	30441	42178	67
2001-04-15	Sun	BOS	D	9	32127	22897	93
2001-04-15	Sun	MIN	D	6	9141	18745	94
2001-04-15	Sun	ATL	D	6	24472	32654	101
2001-04-15	Sun	CHN	D	6	21061	37976	67
2001-04-15	Sun	COL	D	9	36841	41220	73
2001-04-15	Sun	MIL	D	9	25981	19647	56
2001-04-15	Sun	MON	D	9	8090	10112	83
2001-04-15	Sun	OAK	N	9	18853	14683	103
2001-04-15	Sun	TOR	D	7	21379	15325	78
2001-04-15	Sun	NYN	D	6	39643	37814	75
2001-04-15	Sun	SDN	D	6	23852	45242	66
2001-04-15	Sun	SLN	D	6	27993	48082	97
2001-04-16	Mon	SEA	N	4	45657	40827	93
2001-04-16	Mon	NYN	N	7	18241	17905	75
2001-04-16	Mon	PIT	N	4	20128	11335	72
2001-04-16	Mon	SLN	N	7	25625	32062	97
2001-04-16	Mon	ANA	N	7	16368	14338	99
2001-04-16	Mon	BAL	N	7	24558	40077	67
2001-04-16	Mon	BOS	D	10	33373	27397	93
2001-04-16	Mon	MIN	N	7	10297	14066	94
2001-04-16	Mon	ATL	N	7	24015	34903	101
2001-04-17	Tue	ANA	N	8	17837	15229	99
2001-04-17	Tue	BAL	N	8	28679	34536	67
2001-04-17	Tue	DET	N	6	13068	24686	55
