Game_Date	Team	Team_Score	Opponent_Score	current_wins	@prev := year(Game_Date)
2003-03-31	CLE	5	6	0	2003
2003-04-02	CLE	4	2	1	2003
2003-04-03	CLE	3	0	2	2003
2003-04-04	CLE	1	5	2	2003
2003-04-05	CLE	1	3	2	2003
2003-04-08	CLE	3	5	2	2003
2003-04-09	CLE	5	2	3	2003
2003-04-10	CLE	2	7	3	2003
2003-04-11	CLE	0	1	3	2003
2003-04-12	CLE	2	5	3	2003
2003-04-13	CLE	6	1	4	2003
2003-04-14	CLE	4	12	4	2003
2003-04-15	CLE	8	3	5	2003
2003-04-16	CLE	3	4	5	2003
2003-04-17	CLE	4	6	5	2003
2003-04-18	CLE	3	5	5	2003
2003-04-19	CLE	3	12	5	2003
2003-04-20	CLE	7	4	6	2003
2003-04-21	CLE	9	2	7	2003
2003-04-22	CLE	5	8	7	2003
2003-04-23	CLE	0	4	7	2003
2003-04-24	CLE	2	4	7	2003
2003-04-25	CLE	2	5	7	2003
2003-04-26	CLE	3	6	7	2003
2003-04-27	CLE	3	4	7	2003
2003-04-29	CLE	1	10	7	2003
2003-04-30	CLE	2	6	7	2003
2003-05-02	CLE	6	5	8	2003
2003-05-03	CLE	5	6	8	2003
2003-05-04	CLE	3	1	9	2003
2003-05-06	CLE	1	6	9	2003
2003-05-07	CLE	5	6	9	2003
2003-05-08	CLE	1	7	9	2003
2003-05-09	CLE	9	5	10	2003
2003-05-10	CLE	6	4	11	2003
2003-05-11	CLE	10	17	11	2003
2003-05-13	CLE	3	8	11	2003
2003-05-14	CLE	7	2	12	2003
2003-05-15	CLE	1	9	12	2003
2003-05-16	CLE	3	2	13	2003
2003-05-17	CLE	4	2	14	2003
2003-05-18	CLE	5	8	14	2003
2003-05-19	CLE	10	9	15	2003
2003-05-20	CLE	6	4	16	2003
2003-05-21	CLE	4	0	17	2003
2003-05-22	CLE	2	3	17	2003
2003-05-23	CLE	2	9	17	2003
2003-05-24	CLE	3	12	17	2003
2003-05-25	CLE	6	4	18	2003
2003-05-26	CLE	5	6	18	2003
2003-05-27	CLE	5	2	19	2003
2003-05-28	CLE	8	2	20	2003
2003-05-30	CLE	7	3	21	2003
2003-06-01	CLE	5	4	22	2003
2003-06-02	CLE	5	2	23	2003
2003-06-03	CLE	3	7	23	2003
2003-06-04	CLE	1	2	23	2003
2003-06-05	CLE	4	7	23	2003
2003-06-06	CLE	6	3	24	2003
2003-06-07	CLE	3	5	24	2003
2003-06-08	CLE	3	13	24	2003
2003-06-10	CLE	8	5	25	2003
2003-06-11	CLE	3	2	26	2003
2003-06-12	CLE	4	9	26	2003
2003-06-13	CLE	3	4	26	2003
2003-06-14	CLE	2	5	26	2003
2003-06-15	CLE	3	4	26	2003
2003-06-17	CLE	7	4	27	2003
2003-06-18	CLE	4	1	28	2003
2003-06-19	CLE	10	3	29	2003
2003-06-20	CLE	4	5	29	2003
2003-06-21	CLE	6	7	29	2003
2003-06-22	CLE	8	5	30	2003
2003-06-24	CLE	1	3	30	2003
2003-06-25	CLE	1	3	30	2003
2003-06-26	CLE	1	4	30	2003
2003-06-27	CLE	3	0	31	2003
2003-06-28	CLE	4	5	31	2003
2003-06-29	CLE	3	1	32	2003
2003-06-30	CLE	10	5	33	2003
2003-06-30	CLE	8	5	34	2003
2003-07-01	CLE	3	6	34	2003
2003-07-02	CLE	2	8	34	2003
2003-07-03	CLE	4	1	35	2003
2003-07-04	CLE	2	9	35	2003
2003-07-05	CLE	13	2	36	2003
2003-07-06	CLE	5	3	37	2003
2003-07-08	CLE	4	0	38	2003
2003-07-09	CLE	2	6	38	2003
2003-07-10	CLE	3	2	39	2003
2003-07-11	CLE	12	5	40	2003
2003-07-12	CLE	4	7	40	2003
2003-07-12	CLE	4	2	41	2003
2003-07-13	CLE	4	7	41	2003
2003-07-17	CLE	4	5	41	2003
2003-07-18	CLE	4	10	41	2003
2003-07-19	CLE	4	7	41	2003
2003-07-20	CLE	4	7	41	2003
2003-07-21	CLE	3	4	41	2003
2003-07-22	CLE	2	5	41	2003
2003-07-23	CLE	4	1	42	2003
2003-07-24	CLE	4	7	42	2003
2003-07-25	CLE	5	6	42	2003
2003-07-26	CLE	9	2	43	2003
2003-07-27	CLE	3	2	44	2003
2003-07-29	CLE	2	6	44	2003
2003-07-30	CLE	4	2	45	2003
2003-07-31	CLE	1	3	45	2003
2003-08-01	CLE	3	10	45	2003
2003-08-02	CLE	7	9	45	2003
2003-08-03	CLE	5	8	45	2003
2003-08-05	CLE	1	2	45	2003
2003-08-06	CLE	10	6	46	2003
2003-08-07	CLE	3	0	47	2003
2003-08-08	CLE	2	5	47	2003
2003-08-09	CLE	3	2	48	2003
2003-08-10	CLE	3	1	49	2003
2003-08-11	CLE	3	5	49	2003
2003-08-12	CLE	9	6	50	2003
2003-08-13	CLE	5	0	51	2003
2003-08-14	CLE	8	3	52	2003
2003-08-15	CLE	1	0	53	2003
2003-08-16	CLE	3	5	53	2003
2003-08-17	CLE	5	4	54	2003
2003-08-18	CLE	4	7	54	2003
2003-08-19	CLE	2	8	54	2003
2003-08-20	CLE	3	4	54	2003
2003-08-22	CLE	8	3	55	2003
2003-08-23	CLE	7	5	56	2003
2003-08-24	CLE	7	5	57	2003
2003-08-26	CLE	4	5	57	2003
2003-08-27	CLE	9	7	58	2003
2003-08-28	CLE	8	3	59	2003
2003-08-29	CLE	3	7	59	2003
2003-08-30	CLE	3	9	59	2003
2003-08-31	CLE	5	4	60	2003
2003-09-01	CLE	7	4	61	2003
2003-09-02	CLE	6	8	61	2003
2003-09-03	CLE	5	6	61	2003
2003-09-04	CLE	1	2	61	2003
2003-09-05	CLE	3	5	61	2003
2003-09-06	CLE	5	8	61	2003
2003-09-07	CLE	3	7	61	2003
2003-09-09	CLE	7	1	62	2003
2003-09-10	CLE	7	9	62	2003
2003-09-11	CLE	6	5	63	2003
2003-09-12	CLE	4	3	64	2003
2003-09-13	CLE	0	2	64	2003
2003-09-14	CLE	3	5	64	2003
2003-09-15	CLE	6	13	64	2003
2003-09-16	CLE	8	12	64	2003
2003-09-17	CLE	9	1	65	2003
2003-09-18	CLE	2	3	65	2003
2003-09-19	CLE	0	2	65	2003
2003-09-20	CLE	13	4	66	2003
2003-09-21	CLE	0	2	66	2003
2003-09-23	CLE	1	4	66	2003
2003-09-24	CLE	2	3	66	2003
2003-09-26	CLE	2	1	67	2003
2003-09-27	CLE	4	5	67	2003
2003-09-28	CLE	2	6	67	2003
